2017-2018 B Christmas

Psalm of the Day

All the Ends of the Earth	PSL B-14
All the Ends of the Earth (Beall)	SO 11, WC 461, WS 369
All the Ends of the Earth (Booth)	SPS 82
All the Ends of the Earth (Canedo)	SPS 83
All the Ends of the Earth (Guimont)	G3 1006, GC2 966, LPMG 16
All the Ends of the Earth (Haas, Haugen)	BB-MI 793, G3 70, GC 95, GC2 55, CBW 29B, 548, RS 135, WOR4 75
All the Ends of the Earth (Harbor)	LMGM 504
All the Ends of the Earth (Hirten, Proulx)	CCS 3631
All the Ends of the Earth (Hunstiger)	SS 525
All the Ends of the Earth (Hurd)	BB-MI 541, GP 241, GP3 133, JS 77, JS3 79,
All the Ends of the Earth (Jordan)	LMGM 505
All the Ends of the Earth (Kreutz)	JS2 79, PSC 10
All the Ends of the Earth, Los Confines de la Tierra (Lobato)	WS 368
All the Ends of the Earth (Marchionda)	PRM B9, PMB 161, 569, WC 462
All the Ends of the Earth (Murray)	CBW 125
All the Ends of the Earth (Peloquin)	SI 12
All the Ends of the Earth (Proulx, Gelineau)	LPGG 781, RS 137, WOR 781, WOR4 76
All the Ends of the Earth (Schiavone)	JS2 893, JS3 81LP 23
All the Ends of the Earth (Trapp)	SS 578
All the Ends of the Earth (Willcock)	PFS 6
Los Confines de la Tierra, All the Ends of the Earth (Cortez)	JS2 76
Los Confines de la Tierra (García)	FYC 241
Los Confines de lat Tierra, All the Ends of the Earth (Hurd)	FYC 240, Una Voz 216
The Ends of the Earth (Leaf)	CBW 32

Songs for the Liturgy
Today’s liturgy should be full of the sound of familiar carols. For the Masses at Midnight and at Dawn, choose carols that evoke the images of the Christmas story: Bethlehem, manger, angels, and shepherds. For the Mass during the Day, look for hymns and songs that proclaim that Christ is born this day, as the Word made flesh continues to dwell among us.

Title	Reference	Choices
O Come, All Ye Faithful, Adeste Fideles	All Masses	BB 82, CBW 329, G3 439, GC 341, GC2 357, GP 311, GP3 235, JS2 333, JS3 300, LMGM2 262, OFUV 378, OIF 371, PMB 213, RS 499, SS 672, SPS 150, WC 531, WOR 392, WOR4 426, WS 440
O Come, Little Children	Midnight, Dawn	BB91, GP 322, GP3 248, JS2 357, JS3 322, OFUV 391, OIF 399, PMB 215, SS 684, WC 536, WS 431
O Little Town of Bethlehem	Vigil, Midnight	BB 99, G3 446, GC 363, GC2 359, GP 315, GP3 244, JS2 348, JS3 316, LMGM 25, LMGM2 250, OFUV 376, OIF 402, PMB 212, RS 520, SS 691, WC 533, WOR 386, WOR4 435, WS 425
Of the Father’s Love Begotten	Day	BB 84, CBW 330, G3 427, GC 351, GC2 374, JS2 349, JS3 317, LMGM2 266, OFUV 395, OIF 403, PMB 211, RS 510, SPS 149, SS 678, WC 519, WOR 398, WOR4 415, WS 445
Rise Up, Shepherd, and Follow	Midnight	BB 85, G3 453, GC 360, GC2 375, GP 324, GP3 249, JS2 353, JS3 315, LMGM 12, LMGM2 258, OIF 400, PMB 219, RS 505, WC 542
See Amid the Winter’s Snow	Midnight, Dawn	BB 88, GP 332, GP3 247, JS2 356, JS3 321, WOR 375
Silent Night, Holy Night	Midnight	BB, CBW 332, G3 441, GC 352, GC2 371, GP 312, GP3 252, JS2 343, JS3 309, LMGM 26, OFUV 380, OIF 369, PMB 214, RS 522, SS 689, SPS 154, WC 538, WOR 379, WOR4 413, WS 428
The Aye Carol	Midnight	G3 456, GC2 381, RS 525
The First Nowell	Midnight	BB 107, CBW 344, G3 460, GC 377, GC2 388, GP 334, GP3 259, JS2 363, JS3 328, LMGM 28, LMGM2 276, OFUV 408, OIF 383, PMB 222, RS 536, SS 704, WC 521, WOR 408, WOR4 449, WS 429
*The Lord Said to Me	E, Midnight	BFW 19
*The People Who in Darkness Walked	Midnight	CBW 335
*The People Who Walked in Darkness	Midnight	G3 444, WOR4 453
The Snow Lay on the Ground	Midnight	BB 97, JS 197, JS3 319, OFUV 399, OIF 401, PMB 221, SS 685, WC 540, WS 426
The Virgin Mary Had a Baby Boy	Midnight, Dawn, Day	G3 454, GC2 378, HG 21, RS 501
To People of Good Will	Midnight, Dawn	CBW 336
*Today It Will Be Known to You	E, Vigil	IH 5
‘Twas in the Moon of Wintertime	Midnight, Dawn	CBW 337, WOR 380
Wake from Your Sleep	Dawn	BB 83, CBW 339, GP 328, GP3 234, JS 342, JS3 301, OFUV 386
What Child Is This	Midnight, Dawn	BB 104, CBW 338, G3 466, GC 380, GC2 387, GP 337, GP3 256, JS2 365, JS3 330, LMGM 29, LMGM2 277, OFUV 404, OIF 412, PMB 216, RS 530, SS 700, SPS 153, WC 554, WOR 411, WOR4 488, WS 435
While Shepherds Watched	Midnight	BB 100, JS 347, JS3 305, OIF 372, SS 674, WC 528, WOR 382
Word of God, When All Was Silent	Day	HG 82
