AllSaints 11/1/2018

Psalm of the Day: “Lord, this is the people that longs to see your face.”

Sign Me Up	1	GC 805, LMGM 111, LMGM2 696
Sing with All the Saints in Glory/Canten con Gloriosos Fieles	1	BB-MI 611, CBW 406, G3 539, GC 442, GC2 442, GP 724, JS 789, LMGM2 317, OC 443, OIF 881, PMB 510, RS 595, RS2 609, SS 972, W3 467, W4 526, WC 975, WS 812
Song of the Chosen	 	GC 813, GP 203
Splendor and Honor	1	CBW 685
The Church’s One Foundation/Un Solo Fundamento	1	BB-MI 420, CBW 526, CH 489, G3 742, GC 661, GP 573, GP3 571, H 440, JS 779, JS3 746, LMGM2 606, OC 605, OFUV 770, OIF 671, PMB 385, SS 879, W4 736, WC 788, WS 637
The Clouds' Veil	1	G3 710, GC2 619, RS2 830
The God of Abraham Praise	1	GC 544, JS3 602, RS 685, W3 537, W4 601
*The People of God	G	GC 653
*The Song of Beatitudes	G	CBW 523
This Is the Feast of Victory/Vengan a Celebrar la Victoria	1	CBW 396, G3 520, GC 429, GC2 458, JS 428, JS3 424, OC 446, OFUV 667, OIF 834, PMB 489, RS 583, RS2 618, SS 749, W3 458, W4 515
Those Who Seek Your Face	Ps	GP 447, JS 128
Wake the Song of Jubilee	1	OIF 888, PMB 514, WC 979
*We Are the Light of the World/Somos del Mundo la Luz	G	BB-MI 597, G3 592, GC 508, GC2 515, GP 657, JS 660, OC 494, OIF 880, PMB 506, SPS 237, WC 970, WS 773
We Praise You, O God	 	JS 622, W4 634
We Shall Rise Again	1	GC 772, GC2 762, RS 872
We Sing of the Saints	1	JS 686, OIF 443, SS 686, WC 580, WS 474
Worthy Is the Lamb	2	BB-MI 574, JS 682, SPS 264
Ye Watchers and Ye Holy Ones/Gloriosos Ángeles, Alzad	 	BB-MI 719, G3 882, GC 794, GC2 790, GP 446, GP3 390, H 307, JS 528, JS3 505, LMGM 104, LMGM2 730, OC 725, OIF 900, PMB 522, RS 886, RS2 989, SS 965, W3 707, W4 886, WC 994, WS 793
