B-Ordinary25 9/23/2018

Psalm of the Day: “The Lord upholds my life.”

The Lord Upholds My Life (Alstott)	GP3 926, H234, RA 136
The Lord Upholds My Life (Chepponis)	W4 1182
The Lord Upholds My Life (François)	S&P 300
The Lord Upholds My Life (Gelineau/Anon.)	W3 938, LPGG 943
The Lord Upholds My Life (Guimont)	GC 58, GC2 931, G3 1165, LPGC 1182, LPMG 134, RS 86, RS2 1267, W4 1182
The Lord Upholds My Life (Hunstiger)	SS 513
The Lord Upholds My Life (Inwood)	TCP p.54
The Lord Upholds My Life (Joncas)	PRM B95, LPGA B84, OIF 1108, PMB 715, WS 201
The Lord Upholds My Life (Schiavone)	JS 1021, LPGG 166
The Lord Upholds My Life (Young/Black)	CBW 185
You Alone Are My Help	PSL B-140, SS 473

Songs for the Liturgy

Title	Ref	Choice
*O Christ, What Can It Mean for Us, v. 3	G	LMGM2 348, RS2 674, W4 567
O Day of Peace	2	JS 740, RS2 911, W3 654, W4 811
O God of Every Nation	2	G3 825, GC2 717, LMGM2 663, RS 834, W3 650, W4 812
O God of Love, Have Mercy/Pequé, Pequé, Dios Mío	2	CBW 681, CH 599, OC 408, OIF 793, PMB 457, RS 833, RS2 910, W3 652, W4 813, WC 896
O God, Empower Us	2,G	W3 642
On Eagle’s Wings/En Sus Alas	1	BB-MI 437, G3 691, GC 611, GC2 593, GP 598, GP3 606, JS 704, JS3 671, LMGM2 585, OC 578, OIF 789, PMB 453, RS 740, RS2 795, SPS 333, SS 850, W4 690, WC 887, WS 715
One Lord	2	BB-MI 649, G3 770, GC2 667, GP 453, GP3 401, RS2 921
Only This I Want	G	BB-MI 499, CBW 516, G3 782, GC 695, GC2 701, GP 575, GP3 562, H 413, JS 766, JS3 732
Peace I Leave with You	2	BB-MI 525, CBW 700, GP 649, JS 741, OIF 799, PMB 462, WC 902, WS 723
Prayer of Peace	2	GC 729, GC2 720, G3 821, SS 913
Prayer of Saint Francis	2	BB-MI 523, G3 828, GP3 679, H 421, JS3 702, OFUV 720, OIF 797, RS2 912, SPS 339, WC 898, WS 725
Precious Lord, Take My Hand/Oh Señor, Guíame	1	BB-MI 689, CP3 359, G3 955, GC 874, GC2 847, GP 478, GP3 424, H 363, JS 572, JS3 548, LMGM 162, LMGM2 780, OC 789, OIF 788, PMB 448, RS 754, RS2 826, W4 980, WC 886, WS 747
Priestly People, Pueblo de Reyes, vss. 1,8	2	JS 749, OIF 669, PMB 383, WC 785, WS 636
Psalm of Hope	1,Ps	G3 684, GC2 589, RS 730
Pues Si Vivimos, If We Are Living	1,Ps,G	FYC3 672, G3 756, GC 666, GC2 650, OC 612, OIF 730, PMB 408, RS 727, RS2 798, SS 886, W4 754, WC 838, WS 675
Renew Your People	2	RS 786
Shelter Me, O God	1,Ps	BB-MI 465, CBW 372, G3 717, GC 636, GC2 634, GP 626, GP3 649, JS 724, JS3 689, RS 765
Take Up Your Cross (BRESLAU)	2	BB-MI 723, CBW 353, GP 586, GP3 552, JS 524, JS3 501, OIF 679, PMB 238, SS 905, WC 792, WS 644
Take Up Your Cross (ERHALT UNS HERR)	2	BB-MI 716, CBW 353, G3 801, GP3 552, H 306, JS3 501, GP 586, OIF 679, PMB 238, RS 808, RS2 890, W4 761
Take Up Your Cross (Haas)	2	GC2 688
Take Up Your Cross/Toma Tu Cruz (O WALY WALY)	 	CH 651, GC 698, GC2 690, GP 586, OC 618, WC 765
The Church of Christ Cannot Be Bound	G	LMGM2 612, RS2 873, W4 726
The Church of Christ in Every Age	G	CH 613, G3 765, GC2 665, JS 843, JS3 823, OIF 875, RS 803, SS 899, W3 626, W4 785, WC 965
The Cross of Jesus	G	G3 482, GC2 396, OIF 313, RS2 569, SS 717, W4 465
The Cry of the Poor	1,G	BB-MI 620, G3 47, GC 48, GC2 33, GP 203, GP3 526, JS 635, JS3 829, OFUV 836, RS 69, RS2 52, SPS 340, W4 46
The Eyes and Hands of Christ	 	SPS 234
*The Harvest of Justice	2	G3 806, GC 711, GC2 716
The Love of the Lord	G	G3 792, GC 702, GC2 680, RS 814, RS2 893, W4 776
The Peace of God	2	G3 823, GC2 719
The Servant Song/La Canción del Servidor	G	BB-MI 387, G3 751, GC 669, GC2 661, JS 829, OC 611, OIF 727, PMB 413, RS 788, RS2 861, SS 887, WC 833, WS 674
This Day God Gives Me/En Este Día Dios Da la Vida	2	BB-MI 645, CBW 650, G3 856, GC 757, GC2 749, JS 2, GP 727, OC 693, OIF 209, PMB 2, RS 4, RS 856, RS2 5, SS 943, W3 673, W4 850, WC 201, WS 34
To Serve Is to Reign	G	BB-MI 518
Unless a Grain of Wheat/Si el Grano de Trigo (Farrell)	G	BB-MI 331, BB-MI 507, G3 783, GC 697, GC2 699, GP 579, GP3 516, JS 760, JS3 725, OC 632, OFUV 710, PSL-B 48, RS 804, RS2 894, SS 453, W4 759
Walk Together Children	 	LMGM2 399, SPS 359
We Are Called	2	BB-MI 617, G3 807, GC 718, GC2 710, GP3 524, H 538, RS 820, RS2 902, SS 868, W4 799, WC 816, WS 657
We Are Your People (Stuempfle)	G	OIF 673, PMB 387, SS 883, WC 789, WS 638
We Are Your People (Wren)	G	RS 789, W3 623
We Have Been Told/Se Nos Ha Dicho	G	BB-MI 498, G3 784, GC 699, GC2 694, GP 253, OC 626, RS 815, RS2 883, SS 907, W4 763, WC 849, WS 694
We Should Glory in the Cross	G	JS 686, OIF 443, SS 686, WC 580, WS 474
What Is This Place	2	BB-MI 317, GC 748, GC2 736, GP 538, GP3 462, JS 799, JS3 769, RS 892, RS2 933, W3 709
Wherever He Leads, I’ll Go	G	LMGM 50, RS 810
World Peace Prayer	2	G3 827, GC 732, GC2 718
You Satisfy the Hungry Heart/Tú Sacias Todo Corazón, v. 5	G	BB-MI 324, CBW 603, G3 940, GC 815, GC2 816, GP 525, GP3 487, H 385, JS 803, JS3 791, LMGM 136, LMGM2 757, OC 761, OFUV 807, OIF 540, PMB 300, RS 912, RS2 1028, SS 1009, W3 736, W4 939, WC 664, WS 556
