February 17, 2019 Sixth Sunday of Ordinary Time Year C

Psalm of the Day

Blessed are they who hope in the Lord (Alonso)	Lyric Psalter C, RS2 30
Blessed are they who hope in the Lord (Alsott)	RA 40-41, GP3 870
Blessed are they who hope in the Lord (Duncan)	LMGM2 897
Blessed are they who hope in the Lord (Fernández)	SAP 92-95
Blessed are they who hope in the Lord (French)	LPGA C
Blessed are they who hope in the Lord (Guimont)	LPMC
Blessed are they who hope in the Lord (Inwood)	Collegeville Psalter
Blessed are they who hope in the Lord (Mayernik)	The Five Graces Psalter
Blessed are they who hope in the Lord (Ruff)	Responsorial Psalms for Weekday Mass
Blessed are they who hope in the Lord (Schiavone)	A Lectionary Psalter
Blessed are they who hope in the Lord (Smith)	Forever I Will Sing;
Blessed are they who hope in the Lord (Tate)	Cry Out with Joy C
Blessed are they who hope in the Lord (Thompson)	LPGC, RS2 1211, W4 1126
Happy are they who hope (Dufford)	GP2 167
Happy are they who hope/ Salmo 1 Dichoso el hombre que has puesto (Alonso)	OC 920
Happy are they who hope/ Salmo 1 Dichoso el hombre que has puesto (Rubalcava)	Salmos Responsoriales

Songs for the Liturgy

Title	Ref	Choices
*Lead Me, Lord	G	BB-MI 630, GP 715, GP3 760, H 533, JS 659, JS3 733, LMGM2 530, OFUV 619, SPS 221
Lift High the Cross/Alcen la Cruz	2	BB-MI 712, CBW 435, G3 881, GC 791, GC2 785, GP 444, GP3 384, JS 522, JS3 500, LMGM2 726, OC 721, OIF 703, PMB 393, RS 884, RS2 981, SS 974, W3 704, W4 885, WC 791, WS 664
*Lord of All Hopefulness/Dios Anhelante	1	BB-MI 402, G3 663, GC2 560, GP3 623, H 469, JS3 647, OC 556, OIF 726, RS2 758, SS 839, UEC/UIC 776, W4 686, WC 835, WS 682
Make Us True Servants	G	OIF 872, PMB 501, SS 912, WC 959, WS 783
*O Blessed Are the Poor in Spirit	G	RS2 857, W3 620, W4 738
O God, Our Help in Ages Past/Nuestra Esperanza y Protección	1	BB-MI 443, CBW 644, G3 688, GC 614, GC2 588, GP 613, GP3 612, H 528, JS2 705, JS3 672, LMGM 230, LMGM2 560, OC 577, OFUV 627, OIF 766, PMB 435, RS 735, RS2 804, SS 846, W3 579, W4 689, WC 865, WS 706
Praise the Lord, My Soul	2	GC 554, GP 691, RS 688
Priestly People, Pueblo de Reyes, vs. 16	2	JS 749, OIF 669, PMB 383, WC 785, WS 641
Pues Sí Vivimos/If We Are Living/When We Are Living	1,G	FYC3 672, G3 756, GC 666, GC2 650, OC 612, OIF 730, PMB 408, RS 727, RS2 798, SS 886, W4 754, WC 838, WS 681
Sing with All the Saints in Glory/Canten con Gloriosos Fieles	2	BB-MI 610, CBW 406, G3 539, GC 442, GC2 442, GP 724, JS 789, LMGM2 317, OC 443, OIF 881, PMB 510, RS 595, RS2 609, SS 972, W3 467, W4 526, WC 975, WS 789
The Day is Near	G	GC 768
The Least of These	G	BB-MI 371
The Lord Is My Hope	1	BB-MI 468, GC 613, GP 631, H 454, JS 730
The Lord is Near (Booth)	1	JS3 114, SPS 100
The Lord Is Near (Joncas)	1	G3 692, GC 609, 619, GC2 599, GP 606, GP 614, JS 719, JS3 114
The Song of Beatitudes	G	CBW 523
We are the Light of the World (Manibusan)	G	SPS236
We Are the Light of the World/Somos del Mundo la Luz (Greif)	G	BB-MI 596, G3 592, GC 508, GC2 515, GP 657, JS 660, OC 494, OIF 880, PMB 506, SPS 237, WC 970, WS 777
We Know That Christ Is Raised	2	CBW 398, OIF 508, RS 906, RS2 1019, SS 752, W3 721, WC 617
What Does the Lord Require	G	RS 785, RS2 859, W3 624, W4 748
Whatsoever You Do	G	BB-MI 323, GP 558, GP3519, H 540, JS 846, JS3 828, OFUV 833, UEC/UIC 615
Where Two or Three Have Gathered	G	GP 587, JS 771, JS3 738
You Are All We Have	G	G3 586, GC 505, GC2 508, RS 643, RS2 687, SS 937
You are the Light of the World (Tate)	G	OIF 878, WC 964, WS 784
You Are the Way	1,2	CBW 441, OIF 639, PMB 365, W4 682, WC 747, WS 616
You Satisfy the Hungry Heart/Tú Sacias Todo Corazón	C	BB-MI 324, CBW 603, G3 940, GC 815, GC2 816, GP 525, GP3 487, H 385, JS 803, JS3 791, LMGM 136, LMGM2 757, OC 761, OFUV 807, OIF 540, PMB 300, RS 912, RS2 1028, SS 1009, W3 736, W4 939, WC 664, WS 560
Your Ways Are Not Our Own	G	HG 73, W4 695
