June 23,2019 Vigil of the Nativity of St John the Baptist Year C
June 24,2019 Nativity of St John the Baptist Year C

Psalm of the Day: Vigil

Since My Mother's Womb (Currie/Gelineau)	LPGG 1038, W3 1033, W4 1215
Since My Mother's Womb (Guimont)	GC2 942, LPMG 586, RS 100
Since My Mother's Womb (Kasbohm)	PMB 748, PRM C108
Since My Mother's Womb (Schiavone)	JS 1054, LP 199
Psalm of the Day: Mass of the Day

I Praise You (Armstrong/Somerville)	CBW 220
I Praise You (Bogdan)	PMB 749, PRM C109
I Praise You (Currie/Gelineau)	W3 1034
I Praise You (Guimont)	GC2 1006, LPMG 587, RS 187, W4 1216
I Praise You (Proulx/Gelineau)	LPGG 1039
I Praise You (Schiavone)	JS 1055, LP 200
I Praise Your Name (Lisicky)	GC 135
I Will Praise You	PSL C216
I Will Praise You/Te Doy	Gracias (Alonso) SS
Te Doy Gracias (Martínez)	FYC 271
Te Doy Gracias (Montgomery)	FYC 272

Songs for the Liturgy

Title	Ref	Choices
Sent Forth by God’s Blessing/Con Sus Bendiciones	1	BB-MI 387, CBW 533, GP 588, GP3 532, JS 768, JS3 740, OC 647, OFUV 745, OIF 817, OIF 825, PMB 474, 475, RS2 880, WC 924, WS 745
Tell Out My Soul	G	CBW 575, W3 534
The Day Is Near	G	GC 768, RS2 859
The Great Forerunner of the Morn	G	H 583, JS 515, JS3 494, RS2 974, W4 878
The Great Forerunner of the Morn	G	H 583, JS 515, JS3 494, RS2 974, W4 878
The Moon with Borrowed Light	 	HG 28, W4 877
There’s Something About That Name	2	LMGM2 380
Thuma Mina/Send Me, Jesus	1	G3 776, GC 677, GC2 674, LMGM2 638, RS 796, RS2 877
We Will Drink the Cup	1	GC 709
When Jesus Came to Jordan/Cuando al Jordán Fue Cristo	G	HG 151, OC 397, RS 878, RS2 975, W3 697, W4 456
When Jesus Came to Jordan/Cuando al Jordán Fue Cristo	2	HG 151, OC 397, RS 878, RS2 975, W3 697, W4 456
When Jesus Comes to Be Baptized	G	BB-MI 111, CBW 350, H 238, JS 372, JS3 337
When John Baptized by Jordan’s River	2,G	CBW 325, G3 467, GC2 390, JS 373, JS3 338, OIF 413, RS 538, RS2 555, SS 706, W3 412, W4 458, WC 556
Wild and Lone the Prophet’s Voice	 	HG 18, W4 390
Without Seeing You	2	G3 922, GC 844, GC2 842, RS2 791
Ye Watchers and Ye Holy Ones/Gloriosos Ángeles, Alzad	 	BB-MI 718, G3 882, GC 794, GC2 790, GP 446, GP3 390, H 307, JS 528, JS3 505, LMGM 104, LMGM2 730, OC 725, OIF 900, PMB 522, RS 886, RS2 989, SS 965, W3 707, W4 886, WC 994, WS 798
*You Are Near/Estás Junto a Mí	Ps	BB-MI 434, G3 695, GC 604, GC2 590, GP 619, GP3 610, JS 722, LMGM 184, OC 575, OIF 790, PMB 722, WC 892, WS 715
You Have Anointed Me	1	G3 773, GC 676, GC2 538, GP 555, GP3 534, RS 795
*Zechariah, Do Not Fear	 	IH 77
