March 31, 2019 Lent 4 C

Psalm of the Day

Gusten y Vean (Cortés)	FYC 201, GP 201
Gusten y Vean (Cosas)	Psalms for the Church; Common Psalms
Gusten y Vean (Montgomery)	FYC 200
Great Is Thy Faithfulness	1,G	LMGM 242, LMGM2 492, OIF 611
Hold Me In Life	1,G	CBW 707, GC 599, GP 596, JS2 702
Hold Us in Your Mercy	1,G	G3 494, GC 398, GC2 398, GP 350, LMGM2 291, RS2 583
Hosea/Oseas	1,G	BB-MI 666, G3 484, GC2 405, GP 471, GP3 411, JS 559, JS3 529, OC 413, OFUV 318, OIF 581, PMB 327, SS 1018, WC 702, WS 593
*I Call You to My Father's House	1,G	LMGM2 786, PMB 343, WC 680, WS 603
I Want to Call You	1,G	GC 884
I Will Be Your God	1,G	JS 383
*I Will Give Thanks to You, My Lord	1,G	PMB 147, WC 434, WS 346
I Will Sweep Away Your Transgressions	1,G	CBW 622
Jesus, Heal Us	1,G	G3 952, GC 875, GC2 846, RS2 1059
Lord Jesus, as We Turn from Sin	1,G	SS 724
*Lord, I'm Coming Home	1,G	LMGM 178
Love Divine, All Loves Excelling/Sólo Excelso, Amor Divino	1,G	BB-MI 473, CBW 625, G3 641, GC 622, GC2 613, GP 640, GP3 662, H 569, JS 746, JS3 709, LMGM2 494, OC 543, OFUV 696, OIF 743, PMB 431, RS 743, RS2 806, SS 854, W3 588, W4 642, WC 855, WS 701
Loving and Forgiving	1,G	BB-MI 665, GP 251, GP3 413, H 361, JS 560, JS3 532, OFUV 226, UEC/UIC 216
*Make of Our Hands a Throne	1,G	OIF 552, PMB 302, WC 692, WS 578
Mercy, O God	1,G	G3 480, GC2 417, RS2 575, SS 712
Now We Remain/En Ti Permanecemos	1,G	BB-MI 507, G3 785, GC 694, GC2 696, OC 620, RS 813, RS2 889, SS 903, W4 764, WC 676, WS 561
O Christ, Bright Sun of Justice	1,G	JS 389
O Christ, the Great Foundation	1,G	CBW 527, GC2 646, RS 781, RS 782, RS2 854, SS 978, W3 618
*Our Father, We Have Wandered	1,G	CH 401, G3 956, GC2 849, JS2 554, LMGM2 771, OIF 583, PMB 326, RS 955, RS2 1064, SS 709, W3 755, W4 963, WC 703, WS 591
Out of Darkness (Walker)	1,G	BB-MI 505, GC 689, GP 574, GP3 560, JS 765, JS3 724, OFUV 619
Out of the Depths (Gerrish)	1,G	OIF 424, WC 566
Out of the Depths (Soper)	1,G	BB-MI 809, GP3 196, H 161, JS3 109, OFUV 252
Out of the Depths/De Lo Profundo	1,G	GC 877, GP 344, JS 107, 393, OC 787, PMB 241, RS 947, W4 970
Praise to You, O Christ, Our Savior/Te Alabamos, Jesucristo	1,G	BB-MI 591, CBW 442, G3 596, GC 515, GC2 517, GP 662, GP3 691, H 476, JS 674, JS3 643, OC 499, OFUV 651, RS 652, RS2 702, W4 591
*Rejoice, Jerusalem!	1,G	IH 18
*Rejoice, Rejoice, All Who Love Jerusalem	1,G	PSL C40, SS
Remember Your Love/Recuerda Tu Amor	1,G	BB-MI 662, G3 961, GC2 851, GP 474, GP3 417, JS 561, JS3 533, OC 780, OFUV 317, RS 550
Remember Your Mercy, Lord	1,G	JS 561, GC 885, GP 476, RS 550
Return to God/Volvamos Hoy a Nuestro Dios	1,G	G3 478, GC2 410, OC 406, OIF 427, RS 555, RS2 563, SS 718, W4 475, WC 567, WS 471
Return to the Lord	1,G	G3 471, GC2 415, GP 472, GP3 412
Savior, Like a Shepherd Lead Us	1,G	LMGM 47
Shepherd of Souls, In Love Come Feed Us	1,G	BB-MI 364, GP3 714, H 514, JS3 578, OFUV 563, OIF 565, PMB 307, WC 679
Show Us Your Mercy	1,G	GP 473, GP3 418, JS 563, JS4 527
Somebody’s Knockin’ at Your Door/Tocando a Tu Puerta Está	1,G	BB-MI 136, G3 470, GC 395, GC2 394, GP 354, GP3 278, JS 388, JS3 354, LMGM 34, LMGM2 283, OC 398, OIF 638, RS 547, RS2 573, W3 415, W4 462, WC 752, WS 462
*Taste and See (Angrisano)	1,G	BB-MI 343, JS3 782, SPS 64
*Taste and See (Dean)	1,G	BB-MI 763, GP3 143, H 117, JS3 42, OFUV 168, W4 48
*Taste and See (Hurd)	1,G	BB-MI 340, GP3 507, H 403, JS3 796, OFUV 797
*Taste and See (Kendzia)	1,G	BB-MI 345
*Taste and See (Louis)	1,G	LMGM2 512
*Taste and See (Luckner)	1,G	W4 952
Taste and See (O'Brien)	Ps	G2 604, GC 837, RS 919
*Taste and See (Reza)	1,G	BB-MI 352
*Taste and See/Gusten y Vean (Alonso)	1,G	G3 915, OC 772, RS2 1044
*Taste and See/Gusten y Vean (Moore)	1,G	BB-MI 334, G3 930, GC2 827, CBW 610, G3 930, GC2 609, OC 741, OIF 243, 245, LMGM2 750, PMB 148, RS2 1031, SS 992, W4 945, WC 688, WS 559
Thanks Be to You	1,G	GC 569, RS 708
The Lord Is My Hope	1,G	BB-MI 468, GC 613, GP 631, H 454, JS 730
There Is a Balm in Gilead/Bálsamo de Amor Hay en Galaad	1,G	BB-MI 455, G3 640, GC2 617, GP 634, GP3 654, JS 723, JS3 688, LMGM 157, LMGM2 502, OC 552, OIF 588, PMB 331, RS 764, RS2 831, SS 866, W3 608, W4 646, WC 714, WS 596
There’s a Wideness in God’s Mercy/Hay Anchura en Su Clemencia	1,G	BB-MI 476, CBW 443, CH 535, CP3 477, G3 644, GC 626, GC2 603, GP 639, GP3 670, H 442, JS 748, JS3 712, LMGM2 511, OC 546, OFUV 690, OIF 585, PMB 322, RS 742, RS2 755, SS 855, W3 595, W3 596, W4 645, WC 708, WS 584
This Is Our Accepted Time	1,G	OIF 425, PMB 231, WC 568
Those Who Seek Your Face, Scrutiny verses	1,G	GP 447, JS 128
Turn Our Hearts	1,G	BB-MI 137, PSL C35
Turn Our Hearts (Bridge)	 	JS3 355
Turn Our Hearts (Psallite)	 	SS 450
Turn Our Hearts Around (Thomson)	 	WS 587
Turn to Me	1,G	BB-MI 661, GP 342, GP3 280, H 247, JS 377, JS3 345, OFUV 314
Turn to the Living God	1,G	G3 485, GC2 408, RS2 561
*Yes, I Shall Arise (Alstott)	1,G	GP 491, GP3 444, JS 590, JS3 562, OFUV 308
*Yes, I Shall Arise/Sí, Me Levantaré (Deiss)	1,G	OC 786, OIF 584, PMB 325, RS2 1069, W4 964, WC 701, WS 595
You Have Looked upon the Lowly	1,G	CBW 624
You Have Rescued Me	1,G	GP 475
