November 2, 2019 All Souls

Psalm of the Day

Refrain Text	Choices
Come to Me (Norbet)	 	BB-MI 460, GP2 629, GP3 644, H 447, JS2 728, JS3 695, OIF 791, OFUV 730, PMB 444, RS2 836, UC 688, W4 716, WC 878, WS 724
Come, All You Blessed Ones	 	OIF 775, PMB 447, WC 877
Deep River	 	JS 761, LMGM 150, LMGM2 702
Eat This Bread/Coman de Este Pan	 	BB-MI 336, CBW 602, G3 941, GC 838, GC2 806, GP3 505, H 398, LMGM2 753, OC 748, OIF 536, RS 928, RS2 1033, W3 734, W4 943, WC 648, WS 556
Eye Has Not Seen/Ni Ojo Ni Oído	 	BB-MI 461, CBW 482, G3 728, GC 638, GC2 616, GP3 645, H 448, OC 595, OIF 875, RS 758, RS2 819, SS 860, SS2 940, UC 691, W4 713, WC 879, WS 716
For All the Saints/Hoy, por los Santos	 	BB-MI 722, CBW 449, G3 884, GC 793, GC2 791, GP 485, GP3 338, H 306, JS 526, JS3 504, LMGM 105, LMGM2 728, OC 724, OIF 899, PMB 521, RS 889, RS2 984, S&S 292, SS 969, W3 705, W4 891, WC 989, WS 797
Free at Last	 	GC 717, GP 562, LMGM 293, LMGM2 654
Give Me Jesus	 	BB-MI 677, GP 484, GP3 435, F 353, LMGM 280, LMGM2 350, JS 551, JS3 554, OFUV 332, OIF 622, RS2 686, WC 751
God of Love, Whose Mercies Daily	 	PMB 342, RS2 1079
Holy Darkness	 	GP 477, GP3 420, JS2 578
I am the Bread of Life (Angrisano/Booth)	 	BB-MI 370
I Am the Bread of Life (Englert)	 	OIF 546, PMB 321, WC 694
I Am the Bread of Life (Kaczmarek)	 	OIF 542, WS 579
I Am the Bread of Life/Yo Soy el Pan de Vida, v. 3 (Toolan)	 	BB-MI 363, G3 945, GC 828, GC2 822, GP3 493, H 390, LMGM 133, LMGM2 755, OC 750, OIF 546, PMB 321, RS 931, RS2 1029, SS 988, UC 524, W3 738, W4 950, WC 648, WS 543
I Am the Resurrection	 	CBW 647, GP3 329, IH 62, JS 570, PSL 43
I Call You to My Father’s House	 	LMGM2 786, PMB 343, WC 680, WS 603
I Have Loved You/Te He Amado	 	BB-MI 603, G3 588, GC 504, GC2 504, GP 710, GP3 772, JS 649, JS3 623, OC 490, RS 641
I Heard the Voice of Jesus Say (Bolduc)	 	OIF 784, WS 725
I Heard the Voice of Jesus Say/Oí la Voz del Salvador	 	BB-MI 462, G3 724, GC 646, GC2 622, GP 633, GP3 646, JS 729, JS3 692, LMGM 41, LMGM2 598, OC 593, OFUV 728, OIF 327, OIF 777, PMB 452, RS 768, RS2 821, SS 865, W3 607, W4 707, WC 876, WS 717
I Know That My Redeemer Lives (Haas)	 	G3 972, GC 854, GC2 863
I Know That My Redeemer Lives (Hatton)	 	GC 430, GP 388, JS 131, LMGM 63, LMGM2 309, PMB 363, RS 582, SS 763, W3 445
I Know That My Redeemer Lives (Soper)	 	BB-MI 678, GP2 482, GP3 431, H 351, JS2 586, JS3 556, OFUV 346, S&S 131, UC 264
I Know That My Redeemer Lives!/Yo Sé Que Vive el Salvador (DUKE STREET)	 	BB-MI 570, G3 527, GC2 454, GP2 388, GP3 318, H 272, JS2 131, JS3 129, LMGM2 309, OC 434, OFUV 671, OIF 628, RS2 611, RS2 611, UC 401, W3 445, W4 527, WC 760, WS 610
I Know That My Redeemer Lives/Yo Creo Que Vive el Redentor (Hughes)	 	G3 973, GC 857, GC2 866, OC 795, OIF 599, RS 936, RS2 1084, W3 176, W4 994, WC 730, WS 29
I Receive(d) the Living God/Yo Recibo al Vivo Dios (Jacob)	 	BB-MI 326, G3 916, GC 851, GC2 809, H 380, JS2 815, JS3 786, LMGM2 759, OC 745, OIF 544, PMB 312, RS 913, RS2 1023, SS 999, W3 735, W4 923, WC 674, WS 567, WS 571
I Shall See My God	 	GC 856
I Want to Call You	 	GC 884
I Want to Walk as a Child of the Light/Quiero Cual Hijo/a de Luz Caminar	 	BB-MI 600, G3 593, GC 507, GC2 513, GP3 682, JS3 632, LMGM2 420, OC 492, OIF 711, PMB 404, RS 651, RS2 693, SS 807, W3 510, W4 585, WC 819, WS 657
I, the Lord	 	BB-MI 679, GC 860, GP2 480, GP3 433, JS2 584, JS3 552
I’ll Be Singing Up There	 	LMGM 148, LMGM2 717
I’ll Fly Away	 	LMGM 149, LMGM2 709
If God Is for Us	 	BB-MI 605, GP 712, GP3 764, JS 647, JS3 621
If We Have Died to Ourselves	 	GC 154, GC2 135, RS 315
In Every Age	 	BB-MI 466, G3 716, GP2 816, JS 727, RS2 803, S&S 317
In the Arms of the Shepherd	 	OIF 782, PMB 449, WC 885
In the Shadow of Your Wings	 	GP 485
Into Your Hands, Lord	 	JS 582
Jerusalem, My Happy Home/Jerusalén, Hogar Feliz	 	BB-MI 609, CBW 601, G3 870, GC 771, GC2 764, JS 788, OC 705, OIF 776, PMB 454, RS 871, RS2 963, W3 690, W4 867, WC 881, WS 718
Jesus Christ Is Risen Today (Alonso)	 	VAO M3
Jesus Christ Is Risen Today/El Señor Resucitó	 	BB-MI 160, CBW 389, G3 540, GC 422, GC2 457, GP 378, GP3 330, H 267, JS 425, JS3 401, LMGM 58, LMGM2 315, OC 439, OIF 473, PMB 259, RS 593, RS2 614, S&S 182, SS 759, W3 442, W4 516, WC 594, WS 507
Jesus, Lord, Have Mercy	 	OIF 604, WC 729
Jesus, Remember Me/Jesús, Recuérdame	 	BB-MI 407, CBW 380, G3 510, GC 404, GC2 422, GP3 510, LMGM 48, LMGM2 97, OC 706, OIF 783, RS 770, RS2 842, W3 423, W4 869, WC 880, WS 602
Keep in Mind/Acuérdate de Jesucristo	 	BB-MI 675, G3 646, GC 674, GC2 658, GP 492, GP3 434, JS 589, JS3 559, OC 547, OFUV 330, OIF 332, OIF 734, PMB 36, RS 940, RS2 789, SS 888, W4 651, WC 834, WS 28, WS 688
Lead Me, Guide Me/Guíame, Mi Señor	 	BB-MI 393, G3 656, GC 574, GC2 555, GP 348, GP3 656, JS3 654, LMGM 168, LMGM2 538, OC 557, OIF 704, PMB 397, RS 712, RS2 759, SS 334, W4 657, WC 815, WS 659
Lead Me, Lord	 	BB-MI 630, GP 715, GP3 760, H 533, JS 659, JS3 733, LMGM2 530, OFUV 619, S&S 221
Let Saints on Earth in Concert Ring	 	W3 741
Like a Child Rests	 	BB-MI 454, GP2 635, GP3 640, H 450, JS2 734, JS3 691, OFUV 734, UC 696
Lord of All Hopefulness/Dios Anhelante	 	BB-MI 402, CBW 497, CH 524, G3 663, GC 578, GC2 560, GP2 622, GP3 623, H 469, JS2 415, JS3 647, LMGM 758, OC 556, OIF 726, RS 713, RS2 758, SS 839, UC 776, W3 568, W4 686, WC 835, WS 682
Lord of the Living	 	W3 739
May We Praise You	 	GC 519, GP 678, JS 647
My Lord Will Come Again	 	GC 769
My Shepherd, You Supply My Need/My Shepherd Will Supply/Señor, Tú Eres Mi Pastor	 	CH 458, JS2 732, JS3 699, LMGM 827, OC 597, OIF 785, RS 761, RS2 827, W3 606, W4 708, WC 884
My Soul Is Longing	 	OIF 786, PMB 445, WC 890, WS 713
Nearer, My God, to Thee/Cerca de Ti, Señor	 	JS 861, LMGM 143, LMGM2 784, OC 794
Never the Blade Shall Rise	 	GC 706
Now Know We Not the Meaning of Life’s Sorrow	 	CBW 635
Now the Green Blade Rises/Brota la Semilla	 	BB-MI 183, CBW 403, CH 291, G3 534, GC 444, GC2 456, GP 382, GP3 328, H 268, JS2 443, JS3 422, OC 433, OIF 476, PMB 260, RS2 607, W3 453, W4 495, WC 606, WS 504
O Blessed Are the Poor in Spirit	 	RS2 857, W3 620, W4 738
O God, Our Help in Ages Past/Nuestra Esperanza y Protección	 	BB-MI 443, CBW 644, G3 688, GC 614, GC2 588, GP 613, GP3 612, H 528, JS2 705, JS3 672, LMGM 230, LMGM2 560, OC 577, OFUV 627, OIF 766, PMB 435, RS 735, RS2 804, SS 846, W3 579, W4 689, WC 865, WS 706
O Lord of Life	 	JS 530
