 B | Advent4 | Ave Maria 
 B | Advent4 | Behold a Virgin Bearing Him 
 B | Advent4 | Christ, Circle Round Us 
 B | Advent4 | Come, Emmanuel
 B | Advent4 | Come to Us 
 B | Advent4 | Creator Alme Siderum/Creator of the Stars of Night 
 B | Advent4 | Emmanuel 
 B | Advent4 | Hail Mary 
 B | Advent4 | Hail Mary: Gentle Woman 
 B | Advent4 | Highly Favored One
 B | Advent4 | Holy Mary, Full of Grace 
 B | Advent4 | I Am for You 
 B | Advent4 | I Say "Yes," Lord/Digo "Sí," Señor
 B | Advent4 | I Sing a Maid
 B | Advent4 | Joy to You
 B | Advent4 | Lead Us to Your Light
 B | Advent4 | Let the Clouds Rain Down
 B | Advent4 | Let the King of Glory Come
 B | Advent4 | Lo, How a Rose E'er Blooming 
 B | Advent4 | Maranatha, Come
 B | Advent4 | Maranatha, Lord Messiah 
 B | Advent4 | My Soul in Stillness Waits/En el Silencio
 B | Advent4 | No Wind at the Window
 B | Advent4 | O Come, O Come, Emmanuel
 B | Advent4 | O Heavens, Let the Just One Come
 B | Advent4 | O Lord of Light
 B | Advent4 | Open, You Skies
 B | Advent4 | Praise We the Lord This Day
 B | Advent4 | Savior of the Nations, Come
 B | Advent4 | See How the Virgin Waits
 B | Advent4 | Servant of the Word
 B | Advent4 | She Will Show Us the Promised One 
 B | Advent4 | Sing of Mary
 B | AllSaints | A Living Faith
 B | AllSaints | AlabarÃ©
 B | AllSaints | Around the Throne, a Glorious Band
 B | AllSaints | As Stars Adorn the Night-Veiled Sky
 B | AllSaints | At the Lamb's High Feast 
 B | AllSaints | Be Not Afraid 
 B | AllSaints | Beatitudes
 B | AllSaints | Blessed Assurance
 B | AllSaints | Blest Are the Pure in Heart
 B | AllSaints | Blest Are They
 B | AllSaints | By All Your Saints Still Striving
 B | AllSaints | Festival Canticle: This Is the Feast of Victory 
 B | AllSaints | For All the Saints 
 B | AllSaints | For All the Saints Who’ve Shown Your Love
 B | AllSaints | For the Faithful Who Have Answered 
 B | AllSaints | Gather Us In
 B | AllSaints | Give Thanks to God on High
 B | AllSaints | God Is Love
 B | AllSaints | God, We Praise You 
 B | AllSaints | Hail, Redeemer, King Most Blest 
 B | AllSaints | Holy, Holy, Holy! Lord God Almighty
 B | AllSaints | I Have Loved You
 B | AllSaints | In Christ There Is a Table Set for All
 B | AllSaints | In Honor of All Saints 
 B | AllSaints | Jerusalem, My Happy Home
 B | AllSaints | Jesus, the Very Thought of You
 B | AllSaints | Lead Me, Lord
 B | AllSaints | O Blessed Are the Poor in Spirit
 B | AllSaints | O Blest Are You 
 B | AllSaints | On the Wings of Change
 B | AllSaints | Priestly People 
 B | AllSaints | Rejoice in the Lord 
 B | AllSaints | Rise Up, O Saints of God
 B | AllSaints | Rise Up with Him
 B | AllSaints | Saints of God 
 B | AllSaints | Shall We Gather at the River 
 B | AllSaints | Sign Me Up 
 B | AllSaints | Sing Praise to God for Friends
 B | AllSaints | Sing with All the Saints in Glory 
 B | AllSaints | Splendor and Honor 
 B | AllSaints | The Church's One Foundation
 B | AllSaints | The Clouds’ Veil
 B | AllSaints | The God of Abraham Praise
 B | AllSaints | The Spirit and the Bride Say “Come!” 
 B | AllSaints | The Song of Beatitudes 
 B | AllSaints | Those Who Seek Your Face
 B | AllSaints | Wake the Song of Jubilee 
 B | AllSaints | We Are the Light of the World
 B | AllSaints | We Praise You, O God 
 B | AllSaints | We Shall Rise Again 
 B | AllSaints | We Sing of the Saints
 B | AllSaints | We’re Marching to Zion
 B | AllSaints | When the Saints Go Marching In 
 B | AllSaints | Who Are These, Like Stars Appearing? 
 B | AllSaints | Worthy Is the Lamb
 B | AllSouls | A Multitude Comes from the East and the West
 B | AllSouls | Alive in Christ Jesus
 B | AllSouls | All Things New 
 B | AllSouls | All Will Be Well 
 B | AllSouls | Amazing Grace
 B | AllSouls | As We Remember
 B | AllSouls | Be Not Afraid
 B | AllSouls | Beatitudes
 B | AllSouls | Because the Lord Is My Shepherd
 B | AllSouls | Before the Fruit Is Ripened by the Sun 
 B | AllSouls | Blest Are They
 B | AllSouls | Canticle of Simeon/Nunc Dimittis
 B | AllSouls | Center of My Life
 B | AllSouls | Come, All You Blessed Ones
 B | AllSouls | Come to Me
 B | AllSouls | Deep River 
 B | AllSouls | Eat This Bread
 B | AllSouls | Eye Has Not Seen
 B | AllSouls | For All the Saints 
 B | AllSouls | Free at Last 
 B | AllSouls | Give Me Jesus
 B | AllSouls | God of Love, Whose Mercies Daily
 B | AllSouls | Holy Darkness
 B | AllSouls | I Am the Bread of Life
 B | AllSouls | I Am the Bread of Life/Yo Soy el Pan de Vida 
 B | AllSouls | I Am the Resurrection 
 B | AllSouls | I Call You to My Father's House
 B | AllSouls | I Have Loved You
 B | AllSouls | I Heard the Voice of Jesus Say
 B | AllSouls | I Know That My Redeemer Lives
 B | AllSouls | I Received the Living God
 B | AllSouls | I Shall See My God
 B | AllSouls | I, the Lord
 B | AllSouls | I Want to Call You
 B | AllSouls | I Want to Walk as a Child of the Light
 B | AllSouls | I'll Be Singing Up There
 B | AllSouls | I'll Fly Away 
 B | AllSouls | If God Is for Us 
 B | AllSouls | If We Have Died to Ourselves
 B | AllSouls | In Every Age 
 B | AllSouls | In the Arms of the Shepherd
 B | AllSouls | In the Shadow of Your Wings 
 B | AllSouls | Into Your Hands, Lord
 B | AllSouls | Jerusalem, My Happy Home
 B | AllSouls | Jesus, Lord, Have Mercy
 B | AllSouls | Jesus, Remember Me
 B | AllSouls | Keep in Mind
 B | AllSouls | Lead Me, Guide Me 
 B | AllSouls | Lead Me, Lord
 B | AllSouls | Let Saints on Earth in Concert Ring
 B | AllSouls | Like a Child Rests
 B | AllSouls | Lord of All Hopefulness
 B | AllSouls | Lord of the Living 
 B | AllSouls | May We Praise You 
 B | AllSouls | My Lord Will Come Again 
 B | AllSouls | My Shepherd Will Supply My Need
 B | AllSouls | My Soul Is Longing 
 B | AllSouls | Nearer, My God, to Thee
 B | AllSouls | Never the Blade Shall Rise
 B | AllSouls | Now Know We Not the Meaning of Life's Sorrow
 B | AllSouls | Now the Green Blade Rises
 B | AllSouls | O Blessed Are the Poor in Spirit
 B | AllSouls | O God, Our Help in Ages Past 
 B | AllSouls | O Lord of Life
 B | AllSouls | On Eagle's Wings
 B | AllSouls | Only in God
 B | AllSouls | Precious Lord, Take My Hand
 B | AllSouls | Psalm 23: The Lord Is My Shepherd 
 B | AllSouls | Psalm 42: My Soul Is Thirsting 
 B | AllSouls | Psalm 63: My Soul Is Thirsting 
 B | AllSouls | Psalm 84: How Lovely Is Your Dwelling Place 
 B | AllSouls | Ps 122: I Rejoiced When I Heard Them Say 
 B | AllSouls | Ps 130: Out of the Depths 
 B | AllSouls | Pues Si Vivimos/If We Are Living
 B | AllSouls | Remember Those, O Lord
 B | AllSouls | Rest in Peace
 B | AllSouls | Rise Up with Him
 B | AllSouls | Restless Is the Heart 
 B | AllSouls | Shall We Gather at the River 
 B | AllSouls | Shepherd of My Heart
 B | AllSouls | Sing with All the Saints in Glory 
 B | AllSouls | Song of Farewell
 B | AllSouls | Songs of the Angels
 B | AllSouls | Steal Away to Jesus
 B | AllSouls | Swing Low, Sweet Chariot
 B | AllSouls | The King of Love My Shepherd Is
 B | AllSouls | The Living God My Shepherd Is
 B | AllSouls | The Lord Is My Hope
 B | AllSouls | The Lord, the Lord, the Lord Is My Shepherd
 B | AllSouls | The People of God
 B | AllSouls | The Strife Is O'er
 B | AllSouls | There Is a Balm in Gilead
 B | AllSouls | There Is One Thing I Ask
 B | AllSouls | This Alone
 B | AllSouls | This Day in New Jerusalem
 B | AllSouls | Those Who Seek Your Face
 B | AllSouls | Unless a Grain of Wheat
 B | AllSouls | Up from the Earth
 B | AllSouls | We Shall Rise Again
 B | AllSouls | We Walk by Faith
 B | AllSouls | We Will Rise Again
 B | AllSouls | Where We'll Never Grow Old
 B | AllSouls | Within Our Darkest Night
 B | AllSouls | Ye Watchers and Ye Holy Ones
 B | AllSouls | Yes, I Shall Arise
 B | AllSouls | You Are Mine
 B | Annunciation | A Message Came to a Maiden Young
 B | Annunciation | All Who Claim the Faith of Jesus
 B | Annunciation | Ave Luz MaÃ±anera
 B | Annunciation | By All Your Saints Still Striving 
 B | Annunciation | Canticle of the Turning
 B | Annunciation | Como Estrella en Claro Cielo
 B | Annunciation | Del Cielo Vino
 B | Annunciation | El Angelus
 B | Annunciation | Hail Mary: Gentle Woman
 B | Annunciation | I Am for You
 B | Annunciation | I Sing a Maid
 B | Annunciation | Immaculate Mary
 B | Annunciation | Madre Morena
 B | Annunciation | Mary the Dawn
 B | Annunciation | No Wind at the Window
 B | Annunciation | O Mary of Graces
 B | Annunciation | O Mary of Promise
 B | Annunciation | Oh, Virgen sin Mancha (Ave de Lourdes)
 B | Annunciation | Praise We the Lord This Day
 B | Annunciation | She Will Show Us the Promised One
 B | Annunciation | Sing of Mary
 B | Annunciation | Sing We of the Blessed Mother
 B | Annunciation | Stainless the Maiden
 B | Annunciation | The Angel Gabriel from Heaven Came
 B | Annunciation | The God Whom Earth and Sea and Sky
 B | Annunciation | There Is Nothing Told
 B | Ascension | A Hymn of Glory Let Us Sing
 B | Ascension | A Rightful Place
 B | Ascension | All Shall Be Well
 B | Ascension | Alleluia! Go and Teach All People
 B | Ascension | Alleluia! Sing to Jesus
 B | Ascension | Baptized in Living Waters
 B | Ascension | Be Not Afraid
 B | Ascension | Christ’s Church Shall Glory
 B | Ascension | Come, Christians, Join to Sing
 B | Ascension | Crown Him with Many Crowns
 B | Ascension | Dwelling Place
 B | Ascension | Forth in the Peace of Christ
 B | Ascension | Go
 B | Ascension | Go, Make a Difference
 B | Ascension | Go, Make of All Disciples
 B | Ascension | Go Out, Go Out
 B | Ascension | Go Out in the World
 B | Ascension | Go Out to the World
 B | Ascension | Go to the World!
 B | Ascension | Go Ye Out
 B | Ascension | God, We Praise You
 B | Ascension | Hail the Day That Sees Him Rise
 B | Ascension | Hail Thee, Festival Day!
 B | Ascension | Halleluya! We Sing Your Praises
 B | Ascension | Holy God, We Praise Thy Name
 B | Ascension | Holy, Holy, Holy Cry
 B | Ascension | I Send You Out
 B | Ascension | I Will Be with You
 B | Ascension | I Will Sing, I Will Sing
 B | Ascension | Jesus Shall Reign
 B | Ascension | Let the Earth Rejoice and Sing
 B | Ascension | Lift Up Your Hearts, Believers
 B | Ascension | Look, O Look, the Sight Is Glorious
 B | Ascension | Lord, You Give the Great Commission
 B | Ascension | O Christ, the Great Foundation
 B | Ascension | O Men of Galilee
 B | Ascension | One Is the Body
 B | Ascension | One Lord
 B | Ascension | Praise Him As He Mounts the Skies
 B | Ascension | Ps 117: Go Out to All the World
 B | Ascension | Rejoice, the Lord Is King
 B | Ascension | Since Our Great High Priest, Christ Jesus
 B | Ascension | Sing We Triumphant Hymns of Praise
 B | Ascension | Take Christ to the World
 B | Ascension | Tell It! Tell It Out with Gladness
 B | Ascension | The Church of Christ in Every Age
 B | Ascension | The Church’s One Foundation
 B | Ascension | The Head That Once Was Crowned with Thorns
 B | Ascension | Vayan al Mundo/Go Out to the World
 B | Ascension | We Are One
 B | Ascension | With One Voice
 B | AshWednesday | Again We Keep This Solemn Fast
 B | AshWednesday | Ashes
 B | AshWednesday | Attende Domine
 B | AshWednesday | Be Reconciled as One
 B | AshWednesday | Broken Cisterns Walled in Stone
 B | AshWednesday | Change Our Hearts
 B | AshWednesday | Deep Within
 B | AshWednesday | Dust and Ashes
 B | AshWednesday | Eternal Lord of Love
 B | AshWednesday | Forgive Our Sins
 B | AshWednesday | From Ashes to the Living Font
 B | AshWednesday | From the Depths of Sin and Sadness
 B | AshWednesday | From the Depths We Cry to Thee 
 B | AshWednesday | Give: Your Father Sees 
 B | AshWednesday | Grant to Us, O Lord
 B | AshWednesday | Have Mercy, Lord, on Us
 B | AshWednesday | Have Mercy on Me
 B | AshWednesday | Healing River of the Spirit
 B | AshWednesday | Hold Us in Your Mercy
 B | AshWednesday | Hosea
 B | AshWednesday | I Will Be Your God
 B | AshWednesday | In These Days of Lenten Journey
 B | AshWednesday | Leave the Past in Ashes
 B | AshWednesday | Led by the Spirit
 B | AshWednesday | Let Justice Roll Like a River
 B | AshWednesday | Lord Jesus Christ
 B | AshWednesday | Merciful God
 B | AshWednesday | Mercy, O God 
 B | AshWednesday | Now Is the Acceptable Time 
 B | AshWednesday | O Christ, Bright Sun of Justice
 B | AshWednesday | O Give Us, Lord, Your Help 
 B | AshWednesday | O Lord, Your Mercy 
 B | AshWednesday | O Merciful Redeemer 
 B | AshWednesday | O Sun of Justice 
 B | AshWednesday | Once We Sang and Danced with Gladness 
 B | AshWednesday | Parce Domine
 B | AshWednesday | Ps 130: With the Lord
 B | AshWednesday | Purify My Heart 
 B | AshWednesday | Remember You Are Dust 
 B | AshWednesday | Remember Your Love 
 B | AshWednesday | Remember Your Mercy, Lord 
 B | AshWednesday | Restore in Us, O God 
 B | AshWednesday | Restore Us, O God 
 B | AshWednesday | Return to God 
 B | AshWednesday | Return to Me
 B | AshWednesday | Return to the Lord 
 B | AshWednesday | Save Your People
 B | AshWednesday | Savior, Like a Shepherd Lead Us
 B | AshWednesday | Signed by Ashes
 B | AshWednesday | Somebody's Knocking at Your Door
 B | AshWednesday | The Cross of Jesus
 B | AshWednesday | This Is Our Accepted Time
 B | AshWednesday | This Is the Time
 B | AshWednesday | This Season Calls Us
 B | AshWednesday | Though the Mountains May Fall
 B | AshWednesday | Tree of Life
 B | AshWednesday | Turn My Heart, O God
 B | AshWednesday | Turn Our Hearts
 B | AshWednesday | Turn to Me
 B | AshWednesday | Turn to the Living God
 B | AshWednesday | We Are Called
 B | AshWednesday | What Does the Lord Require
 B | AshWednesday | When from Bondage
 B | AshWednesday | With These Ashes
 B | AshWednesday | Without Seeing You
 B | AshWednesday | Yes, I Shall Arise
 B | AshWednesday | You Are Rich in Mercy
 B | Assumption | A Woman Clothed with the Sun
 B | Assumption | Adiós, Reina del Cielo
 B | Assumption | All Who Claim the (Put Their) Faith
 B | Assumption | Ave Maria
 B | Assumption | Ave Maria, God Is with You
 B | Assumption | Behold! In Heaven, Clothed with the Sun
 B | Assumption | Blessed One
 B | Assumption | Bright as the Sun, Fair as the Moon
 B | Assumption | Canticle of the Turning 
 B | Assumption | Great Is the Lord
 B | Assumption | Hail, Holy Queen, Enthroned Above
 B | Assumption | Hail Mary: Gentle Woman
 B | Assumption | Hail, Queen of Heav'n, the Ocean Star
 B | Assumption | Highly Favored One
 B | Assumption | Holy Is His Name
 B | Assumption | Holy Is Your Name
 B | Assumption | Holy Mary, Full of Grace
 B | Assumption | Jesus Has Conquered Death
 B | Assumption | Joy to You
 B | Assumption | Magnificat/Canticle of Mary
 B | Assumption | Mary, First among Believers
 B | Assumption | Mary, Full of Grace
 B | Assumption | Mary Has Been Take Up to Heaven
 B | Assumption | Mary, How Lovely the Light of Your Glory
 B | Assumption | Mary, Woman of the Promise
 B | Assumption | O Holy Mary
 B | Assumption | O Mary of Promise
 B | Assumption | O Mary, Our Mother
 B | Assumption | O Sanctissima/O Most Holy One
 B | Assumption | Salamu Maria/Hail Mary (G) LMGM 98 
 B | Assumption | Salve Regina
 B | Assumption | She Will Show Us the Promised One
 B | Assumption | Sing “Ave”!
 B | Assumption | Sing We of the Blessed Mother
 B | Assumption | Sing with All the Saints in Glory 
 B | Assumption | Stainless the Maiden
 B | Assumption | Star upon the Ocean
 B | Assumption | Tell Out, My Soul, the Greatness of the Lord
 B | Assumption | Thanks Be to You
 B | Assumption | The Rich and Noble Come
 B | Assumption | There Is Nothing Told
 B | Assumption | Virgin Born, We Bow Before You
 B | Assumption | Virgin, Full of Grace
 B | Assumption | Ye Watchers and Ye Holy Ones
 B | BaptismLord | A Living Hope
 B | BaptismLord | All Justice You Have Loved and Taught
 B | BaptismLord | All the Ends of the Earth
 B | BaptismLord | All You Who Are Thirsty
 B | BaptismLord | Arise, Your Light Is Come!
 B | BaptismLord | Baptized  in Water
 B | BaptismLord | Before the Sun Burned Bright
 B | BaptismLord | Blessed Quietness
 B | BaptismLord | Christ, You are the Fullness
 B | BaptismLord | Come and Let Us Drink of That New River
 B | BaptismLord | Come, Taste and See
 B | BaptismLord | Come to Me
 B | BaptismLord | Come to the Feast
 B | BaptismLord | Come to the Water
 B | BaptismLord | Come to the Waters
 B | BaptismLord | Come to Us
